,Track name,Track id
0,Itna Na Mujhse Tu Pyar Badha - Duet,5U3LJ3XtA63pGWMeskRULX
1,Aksar Is Duniya Mein,6m2UYr6ZJN8wtDzOauBIb9
2,Teri Baaton,7BgYR9r202eRYKMgCtebII
3,Abhi Na Jao Chhod Kar,2oaKoKA8bvgWfBi9M8wEVJ
4,"Hothon Se Chhu Lo Tum - From ""Prem Geet""",4mBmsPcPa1Eu4LDTHq55Ab
5,Hoshwalon Ko Khabar Kya,5NbR7c5zrOZN3Dje3JVJEN
6,"Yeh Vaada Raha - From ""Yeh Vaada Raha""",19LAzJUBAOzZtpw1h3J1YP
7,Awara Hoon,5ZQqtduL5MNBhIXclinQmc
8,Aaye Ho Meri Zindagi Mein - Male Version,3jNAbt95cAN8Z3LzMPfoUp
9,Mujh Se Pehli Si Mohabbat,3ZIFPNzFxJxD4trmWdWScK
10,"Dekha Ek Khwab (From ""Silsila"")",6eu75OSNNFbQncfV3jbJ3a
11,Maine Payal Hai Chhankai,51EUKH2M1QGN50iGUlnxmU
12,Yeh Haseen Vadiyan Yeh Khula Aasman,6NmGIj2leVHRKkHEGyechJ
13,"Ek Din Aap (From ""Yes Boss"")",7dbO1k9ryxPFJG0fvYBffu
14,"Ajib Dastan Hai Yeh (From ""Dil Apna Aur Preet Parai"")",5VGNtow5pqQXFa0a1QAIBb
15,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",4hLShJ4RCa2KhqVHD7MRDn
16,Aap Ki Nazron Ne Samjha,6BHcSsU2oBdIwh99FejTzy
17,Jahan Mein Aesa Kaun Hai,1bCe5TnMj6g8dl3Gbril78
18,Hamari Adhuri Kahani (Title Track),3HiobOOpSpMsi95WBKPBYk
19,Sanam Teri Kasam,1PDREqVNvmphIoNac3Vz8c
20,"Agar Tum Saath Ho (From ""Tamasha"")",2FCXQHugkoHE1K3tiDu8pu
21,Sahiba,4ulroyDK6rN73nVkCkWhur
22,Tera Chehra,3trnNo4KeaUlFuUiV7iRCj
23,Stay,5qMKcWk6Lcuz0t3R9Ed1NO
24,Ae Dil Hai Mushkil Title Track,1UWacd8x8tPPwmrPB1MoBI
25,"Raanjhan (From ""Do Patti"")",4vHRQnzGcKEtqsLH70tAms
26,"Jaane Tu (From ""Chhaava"")",2xJljikiXXEymW80bqyG6u
27,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",6EivvaEepVTjmDde43eGiB
28,Bewajah,5GJ3WaxTSlxDY3csctX20H
29,Jhol,4XTgFBxBHN6var1BzAgE1m
30,"Humdard (From ""Ek Villain"")",2PvaburAUlhNHxVhw5lvOq
31,Die With A Smile,2plbrEY59IikOBgBGLjaoe
32,Sajna,3uWQkslzoaKzbtOAjQxWNr
33,"Sajni (From ""Laapataa Ladies"")",5zCnGtCl5Ac5zlFHXaZmhy
34,"Silsila - From ""Dhoom Dhaam""",4xvguqzwvStDijt0MyX927
35,Tik Tik,0zXIZ3cuzZmfd1bS6cVNbY
